description	n_missing	n_non_missing	PHESANT_transformation	n_cases	n_controls	variable_type	source	notes	phenotype	raymond_both_sexes_qc	dominance_qc	dominance_qc_no_ordinal
Non-cancer illness code, self-reported: diverticular disease/diverticulitis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1458 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1458 but with missing value (<0) || sample 357017/4124(361141) ||	4124	357017	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1458	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: colitis/not crohns or ulcerative colitis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1459 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1459 but with missing value (<0) || sample 360182/959(361141) ||	959	360182	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1459	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: rectal or colon adenoma/polyps	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1460 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1460 but with missing value (<0) || sample 360053/1088(361141) ||	1088	360053	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1460	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: inflammatory bowel disease	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1461 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1461 but with missing value (<0) || sample 360991/150(361141) ||	150	360991	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1461	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: crohns disease	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1462 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1462 but with missing value (<0) || sample 360045/1096(361141) ||	1096	360045	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1462	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: ulcerative colitis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1463 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1463 but with missing value (<0) || sample 359225/1916(361141) ||	1916	359225	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1463	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: rheumatoid arthritis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1464 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1464 but with missing value (<0) || sample 357124/4017(361141) ||	4017	357124	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1464	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: osteoarthritis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1465 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1465 but with missing value (<0) || sample 331095/30046(361141) ||	30046	331095	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1465	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: gout	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1466 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1466 but with missing value (<0) || sample 355967/5174(361141) ||	5174	355967	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1466	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: other joint disorder	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1467 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1467 but with missing value (<0) || sample 358865/2276(361141) ||	2276	358865	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1467	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: diabetic neuropathy/ulcers	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1468 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1468 but with missing value (<0) || sample 361018/123(361141) ||	123	361018	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1468	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: post-traumatic stress disorder	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1469 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1469 but with missing value (<0) || sample 360875/266(361141) ||	266	360875	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1469	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: anorexia/bulimia/other eating disorder	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1470 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1470 but with missing value (<0) || sample 360851/290(361141) ||	290	360851	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1470	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: atrial fibrillation	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1471 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1471 but with missing value (<0) || sample 358313/2828(361141) ||	2828	358313	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1471	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: emphysema	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1472 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1472 but with missing value (<0) || sample 360991/150(361141) ||	150	360991	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1472	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: high cholesterol	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1473 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1473 but with missing value (<0) || sample 317184/43957(361141) ||	43957	317184	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1473	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: hiatus hernia	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1474 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1474 but with missing value (<0) || sample 352801/8340(361141) ||	8340	352801	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1474	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: sciatica	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1476 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1476 but with missing value (<0) || sample 357741/3400(361141) ||	3400	357741	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1476	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: psoriatic arthropathy	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1477 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1477 but with missing value (<0) || sample 360429/712(361141) ||	712	360429	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1477	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: cervical spondylosis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1478 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1478 but with missing value (<0) || sample 358631/2510(361141) ||	2510	358631	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1478	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: rheumatic fever	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1479 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1479 but with missing value (<0) || sample 360080/1061(361141) ||	1061	360080	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1479	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: chronic fatigue syndrome	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1482 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1482 but with missing value (<0) || sample 359482/1659(361141) ||	1659	359482	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1482	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: irregular heart beat	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1485 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1485 but with missing value (<0) || sample 360576/565(361141) ||	565	360576	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1485	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: svt / supraventricular tachycardia	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1487 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1487 but with missing value (<0) || sample 360952/189(361141) ||	189	360952	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1487	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: brain haemorrhage	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1491 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1491 but with missing value (<0) || sample 361031/110(361141) ||	110	361031	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1491	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: varicose veins	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1494 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1494 but with missing value (<0) || sample 359842/1299(361141) ||	1299	359842	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1494	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: lymphoedema	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1495 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1495 but with missing value (<0) || sample 360961/180(361141) ||	180	360961	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1495	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: pneumothorax	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1497 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1497 but with missing value (<0) || sample 360984/157(361141) ||	157	360984	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1497	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: labyrinthitis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1499 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1499 but with missing value (<0) || sample 360953/188(361141) ||	188	360953	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1499	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: vertigo	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1500 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1500 but with missing value (<0) || sample 360710/431(361141) ||	431	360710	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1500	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: pyloric stenosis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1501 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1501 but with missing value (<0) || sample 361036/105(361141) ||	105	361036	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1501	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: appendicitis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1502 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1502 but with missing value (<0) || sample 358083/3058(361141) ||	3058	358083	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1502	TRUE	TRUE	TRUE
Non-cancer illness code, self-reported: anal fissure	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1504 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1504 but with missing value (<0) || sample 360953/188(361141) ||	188	360953	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1504	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: haemorrhoids / piles	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1505 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1505 but with missing value (<0) || sample 360182/959(361141) ||	959	360182	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1505	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: jaundice (unknown cause)	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1508 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1508 but with missing value (<0) || sample 360845/296(361141) ||	296	360845	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1508	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: gastroenteritis/dysentry	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1509 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1509 but with missing value (<0) || sample 361037/104(361141) ||	104	361037	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1509	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: dyspepsia / indigestion	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1510 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1510 but with missing value (<0) || sample 360686/455(361141) ||	455	360686	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1510	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: abdominal hernia	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1511 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1511 but with missing value (<0) || sample 360907/234(361141) ||	234	360907	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1511	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: umbilical hernia	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1512 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1512 but with missing value (<0) || sample 360813/328(361141) ||	328	360813	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1512	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: inguinal hernia	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1513 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1513 but with missing value (<0) || sample 359644/1497(361141) ||	1497	359644	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1513	TRUE	FALSE	FALSE
Non-cancer illness code, self-reported: cystitis	53	361141	20002_0 || CAT-MUL-BINARY-VAR 1514 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1514 but with missing value (<0) || sample 360842/299(361141) ||	299	360842	binary	phesant	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."	20002_1514	TRUE	FALSE	FALSE
